group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q (US),2Q (US),3Q (US),4Q (US),5Q (CR),6Q (CR),7Q (CR),8Q (CR),9F (SL),10F (SL),11F (SL),12F (SL),13F (CR),14F (CR),15F (CR),16F (CR),17F (SL),18F (SL),19F (SL),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,27,ISR,Israel,Yoav Cohen,ISRYC2,,342,220,17,11,9,5,3,(28),10,(23),19,7,(39) DSQ,25,18,18,(32),13,9,25,31,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,28,ESP,Spain,Nacho Baltasar Summers,ESPNS15,,390,221,(39) DNC,(33),17,15,10,12,15,18,17,(39) DSQ,7,33,3,(58) UFD,11,14,13,29,7,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,29,ITA,Italy,manolo umberto modena,ITAMM331,,394,226,21,7,3,9,(56) UFD,17,18,(22),7,29,5,21,(47),22,24,(43),21,5,17,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,30,ITA,Italy,Luca di Tomassi,ITALD70,,381,234,7,7,13,7,(29),6,7,(56) UFD,21,21,23,(29),23,(33),19,25,23,27,5,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,31,FRA,France,Yun Poulquen,FRAYP14,,409,249,7,11,7,11,22,(25),(38),11,7,29,13,27,6,27,27,(58) UFD,21,23,(39) DNF,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,32,TUR,Türkiye,Onur Cavit Biriz,TURCB7,,374,250,21,15,11,13,(23),6,23,(32),23,27,3,19,(37),(32),23,29,17,13,7,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,33,CHN,"China, PR",Kun Bi,CHNKB1,,421,251,(39) DNC,19,1,9,(34),22,27,5,13,39 BFD,11,7,(51),45,(46),28,19,3,3,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,34,ARU,Aruba,Ethan Westera,ARUEW3,,389,256,(39) UFD,3,5,5,(16),15,10,5,27,21,29,13,29,5,37,27,25,(39) DNS,(39) DNC,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,35,FRA,France,Tom Arnoux,FRATA22,,414,260,5,(19),3,(19),12,2,7,6,31,25,35,39 BFD,33,(58) DNC,9,(58) DSQ,19,15,19,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,36,GBR,Great Britain,Max Beaman,GBRMB158,,394,267,9,9,5,7,(21),18,16,(28),1,5,31,35,(39),16,26,31,29,(39) DNS,29,-,-,-,-
