group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(US),2Q(US),3Q(US),4Q(US),5Q(SL),6Q(SL),7Q(SL),8F(SL),9F(SL),10F(SL),11F(US),12F(US),13F(US),14F(US),15F(US),16F(SL),17F(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,93,FRA,France,Brieuc Sibé,FRABS25,,179,148,(31),19,21,25,23,25,7,17,11,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,94,ISR,Israel,Rotem Levi,ISRRL6,,189,150,25,15,21,11,31,13,(39) DNF,27,7,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,95,ESP,Spain,,,,185,150,17,19,(35),19,29,25,21,7,13,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,96,GER,Germany,Marius  Müller,GERMM123,,179,150,19,25,(29),23,23,11,15,13,21,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,97,GER,Germany,Philipp Köhlert,GERPK49,,183,152,29,(31),27,27,27,29,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,98,THA,Thailand,Wachirawit Manbumrung,THAWM3,,183,152,29,(31),23,23,19,19,23,5,11,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,99,HUN,Hungary,Kristóf Jancsó,HUNKJ3,,179,152,(27),23,19,25,27,15,21,5,17,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,100,FRA,France,Marius Polo,FRAMP84,,193,154,(39) UFD,39 UFD,39 UFD,1,13,11,23,1,27,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,101,TUR,Türkiye,Mert  Günel,TURMG15,,193,154,17,33,9,29,25,27,(39) DNF,11,3,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,102,ITA,Italy,Mathias Bortolotti,ITAMB297,,195,156,21,17,25,21,29,(39) BFD,21,9,13,-,-,-,-,-,-,-,-,-,-,-,-
