event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(SL),2(SL),3(SL),4(SL),5(SL),6(SL),7(CR),8(CR),9(CR),10(CR),11(CR),QF,SF,F
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,36,TUR,Türkiye,Artun SENOL,TURAS20,,321,219,31,15,27,17,17,17,38,(60),32,25,(42),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,37,FRA,France,Emile Roullet,FRAER16,,329,220,23,7,13,15,15,47 BFD,(55),45,29,26,(54),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,38,SUI,Switzerland,Sebastian Scharer,SUISS16,,317,223,(47) DNC,(47) BFD,21,5,47 DNC,11,23,39,20,14,43,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,39,ISR,Israel,gur prag,ISRGP4,,312,229,27,17,25,25,(47) BFD,13,26,30,(36),30,36,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,40,EST,Estonia,Romek Roolaht,ESTRR16,,330,244,29,19,27,25,19,17,(43),37,33,(43),38,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,41,LAT,Latvia,Davis Mazais,LATDM2,,362,247,17,25,11,17,27,21,50,36,43,(53),(62),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,42,EST,Estonia,Renar Roolaht,ESTRR15,,357,259,15,17,37,25,25,15,41,(50),37,47,(48),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,43,FRA,France,Côme Joly,FRACJ19,,343,266,35,37,33,31,19,29,37,(38),(39),27,18,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,44,POL,Poland,Maksymilian Megger,POLMM78,,380,281,27,21,37,31,35,19,35,(51),41,(48),35,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,45,MEX,Mexico,Jeronimo Abogado Irish Stephenson,MEXJA6,,388,293,33,29,(41),39,35,31,(54),28,25,33,40,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,46,POL,Poland,Konrad Machura,POLKM26,,414,294,29,23,25,19,31,17,(62),56,40,54,(58),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,47,SWE,Sweden,Vidar Nystrom,SWEVN1,,394,302,37,33,29,33,33,21,(48),41,34,(44),41,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,48,POL,Poland,Maciej Pietrzak,POLMP58,,408,305,41,29,27,21,25,19,46,48,(51),49,(52),-,-,-
