event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,105,FRA,France,Yun Poulquen,FRAYP14,,680,506,29,20,32,19,(58) DNC,(58) DNC,58 DNC,58 DNC,(58) DNC,58 DNC,58 DNC,58 DNC,58 DNC,58 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,106,CZE,Czechia,Jakub Zíma,CZEJZ3,,666,513,(54),48,(52),48,51,49,49,45,43,46,(47),45,44,45,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,107,AUT,Austria,Theo Peter,AUTTP5,,692,533,(53),(54),51,50,48,52,47,51,(52),47,46,47,48,46,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,108,TUR,Türkiye,Ozan Türker,TUROT9,,711,537,50,(58) DNF,50,49,(58) DNC,58 DNC,50,58 DNF,50,49,49,42,32,(58) DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,109,GRE,Greece,PETROS KONTARINIS,GREPK27,,712,545,54,52,52,51,(58) DNC,(58) DNC,58 DNC,58 DNC,(51),48,45,43,46,38,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,110,TUR,Türkiye,,,,728,554,48,53,(58) DNF,(58) RET,58 DNC,58 DNC,58 DNC,58 DNC,46,45,42,41,(58) DNC,47,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,111,GRE,Greece,Vassilis Solidakis,GREVS12,,745,576,56,(58) DNC,(58) DNC,58 DNC,51,58 DNF,53,50,(53),51,51,48,49,51,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,112,HUN,Hungary,Hamrák Mihály,HUNHM2,,746,577,55,50,(58) DNC,(58) DNC,58 DNC,58 DNC,58 DNC,58 DNC,49,50,50,44,47,(53),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,113,UKR,Ukraine,Vlad Mendelenko,UKRVM3,,759,589,55,(58) DNF,(58) DNF,58 DNC,58 DNC,53,54,58 DNC,(54),52,52,49,51,49,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,114,GRE,Greece,FINNEAS ZANNARAS,GREFZ1,,785,611,(58) DNC,(58) DNC,58 DNC,58 DNC,58 DNC,58 DNC,58 DNC,58 DNC,55,(58) DNC,58 DNC,50,50,50,-,-,-,-,-
