event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),19F(CR),MR(pos)
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,29,CHN,"China, PR",Xianting Huang,CHNXH4,,439,300,(28),18,(31),12,17 RDG,22 RDG,11 RDG,19 RDG,22,28,24,(40),13,39,23,21,13,(40),18,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,30,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,,460,302,(22),14,19,10,10,11,(46) BFD,14,(43),27,29,32,19,31,19,(47) BFD,31,23,13,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,31,GBR,Great Britain,Alice Read,GBRAR80,,424.7,302.7,13,11,17,13.7 RDG,(23),(21),8,21,21,22,28,30,19,29,19,(41),23,28,(37),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,32,CHN,"China, PR",Manjia Zheng,CHNMZ1,,467,322,17,(36),22,21,15,(23),18,16,23,35,25,26,35,31,(39),(47) BFD,10,21,7,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,33,POL,Poland,Maja Kuchta,POLMK77,,485,329,10,9,8,8,9,(25),(46) BFD,11,35,38,21,27,39,35,5,(43),35,39,(42),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,34,FRA,France,Manon Pianazza,FRAMP64,,456.1,331.1,14,(26),20.7 RDG,(22),20,17.4 RDG,15,17,(37),25,19,24,11,35,23,23,(40),31,36,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,35,CZE,Czechia,Kristyna Pinosova,CZEKP2,,485,332,(21),(46) DNC,12,13,7,13,6,10,(41),40,40,37,37,9,39,(45),6,22,41,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,36,ITA,Italy,Giorgia Speciale,ITAGS131,,471,340,12,13,(20),19,12,(21),17,14,42,39,34,34,(43),(47) DNC,33,17,16,27,11,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,37,HKG,"Hong Kong, China",Kwan Ching Ma,HKGMM5,,471,341,22,22,(29),(26),17,18,9,18,36,(37),36,29,3,37,29,13,20,32,(38),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,38,POL,Poland,Zofia Noceti Klepacka,POLZK1,,495,341,17,16,(23),13,15,14,(46) BFD,22,39,23,(42),28,17,(43),33,35,8,36,25,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,39,ISR,Israel,adi millo,ISRAM4,,479,349,14,12,(21),20,(22),16,18,12,29,34,33,41,9,23,25,31,32,(43),(44),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,40,ISR,Israel,Naama Gazit,ISRNG5,,477,355,21,(25),18,23,(24),15,14,16,31,33,(39),31,31,33,9,17,(34),33,30,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,41,EST,Estonia,Ingrid Puusta,ESTIP1,,485,359,(19),15,17,(25),13,12,11,19,33,32,31,36,33,25,31,19,(41),(41),32,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,42,GER,Germany,Alisa Engelmann,GERAE18,,561,403,(38),21,18,17,16,23,16,(32),(44),36,37,33,29,17,35,29,43,(44),33,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,43,GBR,Great Britain,Catrin Williams,GBRCW85,,581.7,410.7,16.7 RDG,17,16,15,(34),(46) DSQ,21,20,40,42,41,(46) SCP,(45),13,27,33,44,34,31,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,44,USA,United States of America,Dominique Stater,USADS214,,569,434,(26),(28),24,20,16,26,12,11,34,31,38,38,(41),37,37,39,33,38,(40),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,45,SLO,Slovenia,Lina Erzen,SLOLE1,,584,444,11,15,20,21,(24),15,16,(26),38,41,43,39,35,39,35,31,(45),(45),45,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,46,FRA,France,Lucie Belbeoch,FRALB33,,219,142,18,13,25,12,(30),27,(30),21,(8),4,2,3,1,(9),3,4,2,7,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,47,DEN,Denmark,Laerke Buhl-Hansen,DENLB6,,237.4,151.4,(24),18,(40),14,23,24,19,20,2,7,(13),7.4 RDG,(9),7,3,3,1,3,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,48,NOR,Norway,Tuva Oppedal,NORTO12,,257,156,18,9,(46) DSQ,(29),22,22,22,27,1,1,1,(9),9,7,(17),6,5,6,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,49,ITA,Italy,Sofia Renna,ITASR40,,242.4,156.4,20,19,19,14,(21),(25),19.7 RDG,19.7 RDG,6,2,4,2,13,5,7,(25),6,(15),-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,50,CHN,"China, PR",Zheng Yan,CHNZY5,,293,168,19,19,9,(25),(28),18,23,25,(45) DNC,(27),9,10,23,1,7,1,3,1,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,51,GBR,Great Britain,Jennie Roberts,GBRJR119,,303,177,24,23,13,(34),(26),17,10,25,5,5,7,1,13,9,(21),14,(45) BFD,11,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,52,CYP,Cyprus,Natasa Lappa,CYPNL2,,278,180,(30),27,21,28,18,19,17,(46) DNC,4,3,8,7,5,(13),5,(9),9,9 RDG,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,53,ESP,Spain,Alberto Fontanals,ESPAF45,,276,185,23,(29),11,18,(31),28,20,24,9,11,(14),11,3,3,1,(17),11,12,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,54,CHN,"China, PR",Jie Du,CHNJD1,,286,187,(26),21,15,(31),25,19,21,22,18,17,3,6,(21),5,9,2,4,(21),-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,55,CHN,"China, PR",Yunxiu Lu,CHNYL6,,303.4,208.4,29,28.8 RDG,28.8 RDG,28.8 RDG,(35),22,13,(31),13,8,5,(14),11,3,(15),8,8,2,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,56,TUR,Türkiye,Merve Vatan,TURMV1,,341,224,27,24,26,30,(35),28,31,(46) DNC,11,6,(17),12,5,1,(19),5,10,8,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,57,ISR,Israel,Linoy Geva,ISRLG1,,358,230,(33),(30),22,22,29,17,24,24,14,(20),(45) BFD,4,17,15,9,7,16,10,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,58,FIN,Finland,Aleksandra Blinnikka,FINAB8,,400,248,25,20,15,23,27,(34),(28),27,7,30,10,5,11,17,13,(45) BFD,18,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,59,BRA,Brazil,Giovanna Prada,BRAGP14,,394,248,20,(31),24,17,14,20,(27),23,12,10,19,(45) DSQ,(43),31,11,21,17,9,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,60,GBR,Great Britain,Emily Hall,GBREH32,,419,266,27,32,31,19,(37),29,(46) BFD,28,3,9,6,(25),1,15,19,23,24,(45) DNC,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,61,GRE,Greece,Danae Pontifex,GREDP28,,424,271,23,22,(46) BFD,16,(25),20,19,23,15,13,18,16,19,13,(37),18,36,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,62,GBR,Great Britain,Lucy Kenyon,GBRLK16,,442,300,31,27,(34),(35),33,30,25,29,17,19,(28),17,3,11,5,28,25,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,63,TUR,Türkiye,Dilara Uralp Palombo,TURDU3,,420,303,25,24,28,29,(30),(36),27,26,21,(25),16,22,25,19,13,(26),15,13,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,64,ITA,Italy,CAROLA COLASANTO,ITACC169,,443,308,(46) DNF,36,(38),34,32,26,29,30,16,(28),15,13,7,11,(23),16,23,20,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,65,NOR,Norway,Maya Gysler,NORMG7,,479,317,(46) DNF,29,33,33,38,33,23,(46) DNC,23,14,(25),8,17,23,11,(45) BFD,13,19,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,66,FRA,France,Ambar Papazian,FRAAP56,,460,327,(32),(35),29,26,26,32,25,28,28,15,27,24,(29),29,1,(37),14,23,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,67,SUI,Switzerland,Manon Berger,SUIMB39,,477,339,28,26,27,18,(36),(34),33,33,27,21,12,18,(37),(31),25,24,31,16,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,68,ITA,Italy,Linda Oprandi,ITALO5,,472,341,(32),31,27,27,28,31,24,(46) BFD,22,23,22,19,25,(27),25,15,(26),22,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,69,AUS,Australia,Samantha Costin,AUSSC55,,500,351,31,(39),(32),32,31,29,28,31,20,24,20,15,23,21,(33),27,19,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,70,NED,Netherlands,Fianne Brule,NEDFB16,,518,362,34,34,35,33,(39),37,30,(46) BFD,25,(26),24,21,15,25,17,11,21,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,71,POL,Poland,Pola Wawrzyniak,POLPW15,,509,369,29,30,(33),(31),27,30,26,29,24,29,23,30,15,29,21,(31),27,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,72,JPN,Japan,Rina Niijima,JPNRN3,,543,373,35,32,(36),(40),33,33,36,34,19,12,45 DNC,26,(47) DNC,(47) DNC,47 DNC,10,7,4,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,73,ESP,Spain,Julia Gomez Roa,ESPJG114,,536,377,35,28,30,(46) DNC,34,31,29,(46) DNC,26,16,26,23,(31),21,31,(36),30,17,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,74,EST,Estonia,Emma Viktoria Millend,ESTEM4,,554,378,(46) DNF,(46) DNC,36,32,36,32,46 BFD,46 BFD,10,18,11,20,27,23,(39),29,12,(45) DSQ,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,75,FIN,Finland,Sofia Hamalainen,FINSH10,,540,380,30,(34),32,30,29,24,22,(46) DNF,30,31,31,28,27,(43),(37),20,32,14,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,76,BRA,Brazil,Bruna Martinelli,BRABC3,,549,385,33,35,34,(37),32,36,34,(46) DNF,(36),33,29,29,7,17,31,13,22,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,77,GER,Germany,Helena Wanser,GERHW15,,565,417,(46) DNC,(46) DNC,46 DNC,46 DNC,46 DNC,46 DNC,46 DNC,46 DNC,(29),22,21,(27),19,27,15,12,20,5,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,78,AUT,Austria,Lorena Abicht,AUTLA6,,616,448,36,33,37,35,(40),38,32,(46) DNC,33,34,30,32,21,(37),29,30,28,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,79,FIN,Finland,Siri Kaskeala,FINSK23,,663,488,37,37,38,36,39,40,(46) DNF,(46) RET,34,(38),32,34,37,35,35,19,35,(45) DNF,-,-
