event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,36,AUS,Australia,Jack Ferguson / Jack Hildebrand,AUSJF32 / AUSJH82,AUS 61,188,163,(25),21,14,19,13,8,5,19,22,13,3,7,19,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,37,HKG,"Hong Kong, China",Akira Luke Sakai / Russell Williams Aylsworth,HKGAS4 / HKGRA4,HKG 80,199,164,2,12,10,16,4,32 DSQ,12,24,(35) DSQ,35 DSQ,4,3,10,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,38,NED,Netherlands,Thomas Schouten / Michiel Dam,NEDTS19 / NEDMD45,NED 772,194,168,22,10,11,16,20,13,16,22,(26),12,9,8,9,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,39,USA,United States of America,Nicolas Muller / Duncan Williford,USANM48 / USADW108,USA 118,200,169,19,12,15,14,16,11,2,6,20,5,19,(31),30,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,40,IRL,Ireland,Ben O' Shaughnessy / Ethan Spain,IRLBO50 / IRLES13,IRL 168,207,172,18,10,16,13,32 DNC,32 DNC,13,6,3,(35) DSQ,10,13,6,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,41,POL,Poland,Dominik Buksak / Mateusz Gwóźdź,POLDB1 / POLMG69,POL 19,205,174,8,12,19,9,22,12,3,25,9,24,(31),24,7,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,42,BEL,Belgium,Yannick Lefebvre / Jules Cock,BELYL5 / BELJC10,BEL 24,201,174,9,8,8,6,11,14,26,(27),10,22,22,26,12,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,43,ARG,Argentina,Maximo Videla / Tadeo Funes de Rioja,ARGMV11 / ARGTF2,ARG 275,208,177,22,14,25,16,11,13,14,6,19,4,24,9,(31),-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,44,AUS,Australia,Daniel Links / Keizo  Tomishima,AUSDL20 / AUSKT10,AUS 525,211,179,17,25,17,13,21,20,16,1,14,11,(32),16,8,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,45,ESP,Spain,Ian Clive Walker March / Zsombor Denes,ESPZD1 / ESPIW2,ESP 790,209,182,7,15,25,(27),20,22,8,13,7,14,17,23,11,-,-,-,-,-
