series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P,2P,3P,4P,5P,6P,7P
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,11,ITA,Italy,Ginevra Caracciolo,ITAGC256,ITA 219116,161,105,(56) BFD,14,20,35,14,15,7
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,12,GER,Germany,Pia Conradi,GERPC5,GER 220411,168,112,(56) BFD,8,17,43,6,28,10
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,13,FRA,France,Périne MILLERET,FRAPM63,FRA 227246,153,115,6,31,18,12,24,24,(38)
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,14,HKG,"Hong Kong, China",Stephanie Louise Norton,HKGSN1,HKG 211715,172,116,(56) BFD,15,4,7,30,31,29
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,15,IND,India,Nethra Kumanan,INDNK4,IND 222138,173,117,(56) BFD,21,22,16,3,34,21
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,16,FRA,France,Capucine Deltel,FRACD87,FRA 223157,173,117,(56) BFD,25,31,8,28,7,18
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,17,NED,Netherlands,Feline  Ede,NEDFE6,NED 221343,178,122,12,37,2,(56) RET,19,22,30
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,18,POL,Poland,Zofia Pospieszna,POLZP6,POL 226458,152,122,11,29,(30),27,11,18,26
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,19,LTU,Lithuania,Viktorija Andrulyte,LTUVA1,LTU 227171,180,124,(56) BFD,56 BFD,10,2 STP,16,23,17
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,20,GER,Germany,Pia Kuhlmann,GERPK20,GER 211211,180,124,13,38,19,23,25,6,(56) RET
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,21,AUS,Australia,Sylvie Stannage,AUSSS43,AUS 222422,183,127,(56) BFD,19,33,15,31,13,16
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,22,FRA,France,Paloma Lopez de Silanes,FRAPL97,FRA 223249,161,128,21,22,25,25,(33),20,15
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,23,ESP,Spain,Sheila Martinez,ESPSM23,ESP 226254,170,129,14,11,29,(41) STP,12,26,37
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,24,FRA,France,Constance KOWALSKI,FRACK8,FRA 226551,179,143,11 STP,24,28,(36),21,32,27
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,25,CZE,Czechia,Klara Himmelova,CZEKH2,CZE 212985,189,144,7,(45),41,34,22,16,24
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,26,POL,Poland,Kinga Szlachetka,POLKS54,POL 227717,189,147,4,28,24,22,(42),41,28
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,27,NED,Netherlands,Hieke Schraffordt,NEDHS17,NED 223112,205,149,(56) BFD,17,1,21,38,50,22
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,28,UKR,Ukraine,Sofiia Naumenko,UKRSN6,UKR 225391,193,149,22,9,32,42,32,12,(44)
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,29,GER,Germany,Julia Buessellberg,GERJB68,GER 221911,206,150,(56) BFD,1,13,32,56 UFD,44,4
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,30,ITA,Italy,Sara Savelli,ITASS104,ITA 213170,210,154,(56) BFD,56 BFD,6,10,29,48,5
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,31,ROU,Romania,Ebru Bolat,ROUEB1,ROU 211711,213,157,(56) BFD,56 BFD,23,41,20,11,6
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,32,SWE,Sweden,Adele Ramm-Ericson,SWEAR21,SWE 213529,215,159,2,(56) DNC,11,9,39,56 DNC,42
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,33,DEN,Denmark,Astrid Hedegaard,DENAH20,DEN 221086,211,163,15,30,38,(48) STP,40,5,35
