series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P ,2P ,3P ,4P ,5P 
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,46,GBR,Great Britain,Ralph musto,GBRRM159,GBR 219833,115,81,33,(34),15,4,29
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,47,GER,Germany,Max Stiff,GERMS157,GER 217200,137,82,12,13,35,(55),22
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,48,POL,Poland,Filip Olszewski,POLFO3,POL 226455,142,82,(60) BFD,28,21,15,18
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,49,POL,Poland,Filip Ciszkiewicz,POLFC1,POL 210788,118,84,(34),24,30,21,9
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,50,GER,Germany,Franz Lasch,GERFL22,GER 223435,112,84,21,22,(28),24,17
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,51,GER,Germany,Maximilian Reger,GERMR74,GER 191711,131,86,25,(45),39,20,2
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,52,FRA,France,thomas flachon,FRATF10,FRA 211191,151,91,27,15,(60) DSQ,33,16
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,53,FIN,Finland,Aaro Rantanen,FINAR8,FIN 225057,123,92,23,30 STP,(31),29 STP,10
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,54,GBR,Great Britain,Alastair Brown,GBRAB199,GBR 223070,153,93,24,(60) BFD,25,19,25
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,55,ITA,Italy,Antonio Pascali,ITAAP210,ITA 219260,143,97,(46),27,23,31,16
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,56,GBR,Great Britain,Hugh  Andrews,GBRHA19,GBR 201872,151,100,16,40,(51),38 STP,6
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,57,DEN,Denmark,Andreas Pedersen,DENAP4,DEN 219839,143,100,23,18,16,(43),43 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,58,MNE,Montenegro,Ilija Markovic,MNEIM1,MNE 224085,145,100,(45),38,17,18,27
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,59,GBR,Great Britain,Robin Phipps,GBRRP112,GBR 226480,147,100,(47),20,27,17,36
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,60,GBR,Great Britain,Samuel Grayton,GBRSG74,GBR 227539,145,101,(44),24,38,16,23
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,61,GBR,Great Britain,Kai Wolgram,GBRKW39,GBR 224700,162,102,(60) BFD,10,22,37,33
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,62,GBR,Great Britain,Archibald Munro-Price,GBRAM139,GBR 226628,154,104,17,(50),23,40,24
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,63,ITA,Italy,Leonardo Locci,ITALL63,ITA 224302,140,105,25,27,28,25,(35)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,64,GER,Germany,Fritz Bohlke,GERFB53,GER 222984,140,106,(34),30,13,32,31
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,65,FRA,France,Nathan WEHRLE,FRANW3,FRA 228330,166,106,(60) BFD,21,24,23,38
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,66,GBR,Great Britain,James Percival-Cooke,GBRJP113,GBR 219895,149,108,30,32,38,8,(41)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,67,FRA,France,Guillermo DOMINGUEZ MARVILLET,FRAGD66,FRA 226430,166,112,36,22,41,13,(54)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,68,GBR,Great Britain,Joe Rowe,GBRJR136,GBR 227327,172,112,(60) BFD,37,20,38,17
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,69,FIN,Finland,Atte Virtanen,FINAV9,FIN 222921,145,112,20,(33),33,27 STP,32
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,70,ITA,Italy,anatol sassi,ITAAS189,ITA 193144,154,113,15,28,36,(41),34
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,71,SWE,Sweden,Alfons Sellin,SWEAS34,SWE 216413,175,114,37,33,18,(61) DNC,26
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,72,FRA,France,Eliott Barré,FRAEB56,FRA 227247,165,115,35,25,49,6,(50)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,73,SWE,Sweden,Rasmus Granzin,SWERG5,SWE 225914,162,119,36,3,37,(43),43
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,74,SUI,Switzerland,Lars Dittel,SUILD10,SUI 221735,165,119,40,35,(46),25,19
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,75,DEN,Denmark,Oscar Thule,DENOT1,DEN 226896,163,120,37,32,(43),36,15
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,76,GER,Germany,Morten Borchardt,GERMB125,GER 217201,167,122,26,23,34,39,(45)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,77,FRA,France,Luka Moreau Dhallenne,FRALM81,FRA 221208,166,124,27,39,29,(42),29
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,78,POL,Poland,Piotr Malinowski,POLPM12,POL 224193,174,128,28,(46),22,41,37
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,79,GBR,Great Britain,Nathan Russell,GBRNR26,GBR 224336,186,131,41,30,(55),11,49
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,80,GBR,Great Britain,Oliver Mayo,GBROM20,GBR 228326,191,131,(60) DSQ,16,45,28,42
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,81,FRA,France,JULES FORTUNATI,FRAJF44,FRA 228290,178,131,32 STP,43,32,24,(47)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,82,GBR,Great Britain,Leo Yates,GBRLY7,GBR 226479,196,136,32,25,39,40,(60) DNC
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,83,FIN,Finland,Alex Tammi,FINAT14,FIN 222910,191,139,20,(52),40,30,49 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,84,CZE,Czechia,Jan Valenta,CZEJV4,CZE 223824,200,140,(60) BFD,47,29,33 STP,31
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,85,AUT,Austria,Clemens Kuebber,AUTCK11,AUT 191101,187,142,32,42,27,(45),41
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,86,UKR,Ukraine,Semen Khashina,UKRSK13,UKR 217791,194,143,41,36,30,36,(51)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,87,GER,Germany,Niklas Ambos,GERNA12,GER 226617,192,145,38,40,37,(47),30
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,88,FIN,Finland,Fredrik Westman,FINFW1,FIN 215016,199,150,42,38,48,(49),22
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,89,FRA,France,Aubry Martin,FRAAM109,FRA 225048,202,150,28,(52),44,35,43
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,90,GER,Germany,Till Heimann,GERTH59,GER 220717,215,155,(60) BFD,46,54,22,33
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,91,GBR,Great Britain,Luke Anstey,GBRLA13,GBR 221798,209,158,38,35,40,(51),45
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,92,SWE,Sweden,Alexander Hargefors,SWEAH39,SWE 217882,223,162,50,57,42,13,(61) DNC
